id,method,value
79,qp_nc,1305646.590263396
80,qp_nc,1314657.2931659068
81,qp_nc,1330532.0925826058
82,qp_nc,1299532.1301092955
83,qp_nc,1288318.9574748168
84,qp_nc,1324191.000083866
85,qp_nc,1329381.9682390376
86,qp_nc,1313440.4036912106
87,qp_nc,1322817.367828172
88,qp_nc,1316457.9437232167
89,qp_nc,1310018.2161291025
90,qp_nc,1308930.4970175142
91,qp_nc,1309392.4749209534
92,qp_nc,1313151.8827837652
93,qp_nc,1304336.8821133613
94,qp_nc,1350998.5353896578
95,qp_nc,1311760.0047875568
96,qp_nc,1307180.3471003377
97,qp_nc,1311119.725353765
98,qp_nc,1311620.812728125
99,qp_nc,1321191.433563173
100,qp_nc,1323191.6738463813
